DEPARTAMENTO_CIRCUNSCRICAO;SECCIONAL_CIRCUNSCRICAO;MUNICIPIO_CIRCUNSCRICAO;DP_CIRCUNSCRICAO ;HD;Nº DE VÍT HD;ID_DELEGACIA;MÊS ESTATISTICA;ANO ESTATISTICA;DATAHORA_REGISTRO_BO;NUM_BO;ANO_BO;MUNICIPIO_ELABORACAO;DP_ELABORACAO;SEC_ELABORACAO;DEP_ELABORACAO;DATA_FATO;HORA_FATO;DESC_TIPOLOCAL;LOGRADOURO;NUMERO_LOGRADOURO;LATITUDE;LONGITUDE;TIPO_PESSOA;SEXO_PESSOA;IDADE_PESSOA;DATA_NASCIMENTO_PESSOA;COR_PELE;PROFISSAO;NATUREZA_APURADA;2017;Sheet;false
DECAP;1ª SEC;São Paulo;002 DP - Bom Retiro;1;1;10102;1;2017;21/01/2017;440;2017;S.PAULO;02º D.P. BOM RETIRO;DEL.SEC.1º CENTRO;DECAP;21/01/2017;31/12/1899 17:15:00;Via pública;PRAÇA DA LUZ;1;-2,35351E+16;-4663377912;Vítima;Masculino;NULL;NULL;Parda;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;1ª SEC;São Paulo;012 DP - Pari;1;1;10108;1;2017;24/01/2017;489;2017;S.PAULO;08º D.P. BRAS;DEL.SEC.1º CENTRO;DECAP;24/01/2017;31/12/1899 16:32:00;Via pública;RUA JOAQUIM CARLOS;1379;-2,35247E+14;-4,66084E+16;Vítima;Masculino;NULL;NULL;Preta;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;2ª SEC;São Paulo;035 DP - Jabaquara;1;1;10216;1;2017;15/01/2017;470;2017;S.PAULO;16º D.P. VILA CLEMENTINO;DEL.SEC.2º SUL;DECAP;15/01/2017;31/12/1899 01:14:00;Via pública;TRAVESSA JUPATIS;110;-2,3653E+16;-4,6649E+16;Vítima;Masculino;33;05/09/1983;Parda;DESEMPREGADO;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;2ª SEC;São Paulo;097 DP - Americanópolis;1;1;10226;1;2017;01/01/2017;19;2017;S.PAULO;26º D.P. SACOMA;DEL.SEC.2º SUL;DECAP;01/01/2017;31/12/1899 16:19:00;Residência;DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ;null;null;null;Vítima;Feminino;61;06/11/1955;Parda;APOSENTADO(A);HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;3ª SEC;São Paulo;034 DP - Vila Sonia;1;1;10356;1;2017;01/01/2017;2;2017;S.PAULO;89º D.P. JARDIM TABOAO;DEL.SEC.3º OESTE;DECAP;01/01/2017;31/12/1899 00:37:00;Residência;DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ;null;null;null;Autor/Vitima;Masculino;19;21/01/1997;Parda;SEM PROFISSAO DEFINIDA;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;3ª SEC;São Paulo;046 DP - Perus;1;1;10333;1;2017;01/01/2017;5;2017;S.PAULO;33º D.P. PIRITUBA;DEL.SEC.3º OESTE;DECAP;01/01/2017;31/12/1899 04:30:00;Via pública;RUA JOÃO DE BARRO;38;-2,34266E+16;-4,67529E+16;Vítima;Masculino;28;05/04/1988;Preta;CONFERENTE;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;3ª SEC;São Paulo;046 DP - Perus;1;1;10346;1;2017;05/01/2017;67;2017;S.PAULO;46º D.P. PERUS;DEL.SEC.3º OESTE;DECAP;05/01/2017;31/12/1899 10:40:00;Rodovia/Estrada;RODOVIA SP 348;27;-2,34067E+14;-4,67675E+16;Vítima;Masculino;20;25/03/1996;Preta;DESEMPREGADO;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;3ª SEC;São Paulo;046 DP - Perus;1;1;10346;1;2017;11/01/2017;140;2017;S.PAULO;46º D.P. PERUS;DEL.SEC.3º OESTE;DECAP;11/01/2017;31/12/1899 11:08:00;Residência;DA VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS ;null;null;null;Vítima;Masculino;21;29/11/1995;Branca;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;3ª SEC;São Paulo;046 DP - Perus;1;1;10333;1;2017;31/01/2017;698;2017;S.PAULO;33º D.P. PIRITUBA;DEL.SEC.3º OESTE;DECAP;31/01/2017;31/12/1899 21:10:00;Via pública;RUA BEIJA FLOR;65;-23414208227;-4,67505E+16;Vítima;Masculino;51;04/09/1965;Branca;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
DECAP;3ª SEC;São Paulo;089 DP - Portal do Morumbi;1;1;10356;1;2017;08/01/2017;175;2017;S.PAULO;89º D.P. JARDIM TABOAO;DEL.SEC.3º OESTE;DECAP;08/01/2017;31/12/1899 18:20:00;Via pública;AVENIDA HEBE CAMARGO;300;-2,36223E+16;-4,67267E+16;Vítima;Masculino;NULL;NULL;Parda;NULL;HOMICÍDIO DOLOSO;2017;Sheet;FALSE
